,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI,MAE,MAE_lower_CI,MAE_upper_CI,Matching Alg.,"Alg: MAE [lower CI, upper CI]",Molecule ID
0,0.724571429,0.509428571,0.985142857,SM01,1.019764679,0.651582689,1.410085104,0.72,0.51,0.99,H: ,"H: 0.72 [0.51, 0.99]",SM01
1,1.014,0.875142857,1.150571429,SM02,1.110061774,0.792783523,1.391034558,1.01,0.88,1.15,H: ,"H: 1.01 [0.88, 1.15]",SM02
2,2.390285714,1.78,3.004857143,SM03,1.165696604,0.873951617,1.432898162,2.39,1.78,3,H: ,"H: 2.39 [1.78, 3]",SM03
3,0.983428571,0.813428571,1.154857143,SM04,1.109406534,0.93618832,1.278834291,0.98,0.81,1.15,H: ,"H: 0.98 [0.81, 1.15]",SM04
4,1.585142857,1.237142857,1.934,SM05,1.26001814,0.990859656,1.513629507,1.59,1.24,1.93,H: ,"H: 1.59 [1.24, 1.93]",SM05
5,2.032173913,1.650869565,2.467246377,SM06,1.251652622,0.996622869,1.478324341,2.03,1.65,2.47,H: ,"H: 2.03 [1.65, 2.47]",SM06
6,1.509714286,1.111428571,1.944285714,SM07,1.095524662,0.964896738,1.222925065,1.51,1.11,1.94,H: ,"H: 1.51 [1.11, 1.94]",SM07
7,0.873428571,0.624285714,1.146,SM08,1.303097995,1.11109535,1.490682936,0.87,0.62,1.15,H: ,"H: 0.87 [0.62, 1.15]",SM08
8,1.055428571,0.870285714,1.262,SM09,1.223947945,1.026054858,1.407812893,1.06,0.87,1.26,H: ,"H: 1.06 [0.87, 1.26]",SM09
9,2.235714286,1.6,2.927142857,SM10,1.212360154,0.978336781,1.465869805,2.24,1.6,2.93,H: ,"H: 2.24 [1.6, 2.93]",SM10
10,0.786571429,0.540285714,1.058,SM11,1.634732694,1.201618598,2.089848479,0.79,0.54,1.06,H: ,"H: 0.79 [0.54, 1.06]",SM11
11,1.054,0.851428571,1.262571429,SM12,1.355514778,1.087713341,1.610444911,1.05,0.85,1.26,H: ,"H: 1.05 [0.85, 1.26]",SM12
12,1.005142857,0.762,1.265714286,SM13,1.508983575,1.106906887,1.885082795,1.01,0.76,1.27,H: ,"H: 1.01 [0.76, 1.27]",SM13
13,1.450454545,1.191212121,1.73,SM14,1.462581866,1.160725143,1.736764644,1.45,1.19,1.73,H: ,"H: 1.45 [1.19, 1.73]",SM14
14,1.040684932,0.863424658,1.223561644,SM15,1.834645949,1.502979868,2.155466623,1.04,0.86,1.22,H: ,"H: 1.04 [0.86, 1.22]",SM15
15,1.06859375,0.87703125,1.27671875,SM16,1.964756619,1.483516094,2.389637749,1.07,0.88,1.28,H: ,"H: 1.07 [0.88, 1.28]",SM16
16,1.19,0.917428571,1.48,SM17,1.899472107,1.560482526,2.209535181,1.19,0.92,1.48,H: ,"H: 1.19 [0.92, 1.48]",SM17
17,1.06372549,0.844509804,1.325294118,SM18,1.860207777,1.618499472,2.076399561,1.06,0.84,1.33,H: ,"H: 1.06 [0.84, 1.33]",SM18
18,2.228571429,1.639428571,2.886,SM19,2.661872253,2.005365719,3.236480642,2.23,1.64,2.89,H: ,"H: 2.23 [1.64, 2.89]",SM19
19,1.690810811,1.438378378,1.930810811,SM20,2.603893239,2.028560362,3.157120297,1.69,1.44,1.93,H: ,"H: 1.69 [1.44, 1.93]",SM20
20,1.995142857,1.462857143,2.563142857,SM21,2.655619145,2.079621621,3.231491332,2,1.46,2.56,H: ,"H: 2 [1.46, 2.56]",SM21
21,1.728333333,1.286527778,2.20875,SM22,2.916335274,2.136923022,3.65851375,1.73,1.29,2.21,H: ,"H: 1.73 [1.29, 2.21]",SM22
22,1.119714286,0.799142857,1.460285714,SM23,2.976446107,2.163610739,3.737817927,1.12,0.8,1.46,H: ,"H: 1.12 [0.8, 1.46]",SM23
23,1.005714286,0.766,1.258285714,SM24,3.020797435,2.413566419,3.572652476,1.01,0.77,1.26,H: ,"H: 1.01 [0.77, 1.26]",SM24
,,,,,,,,rounded to 2 decimals,,,C for Closest,,
,,,,,,,,,,,H for Hungarian,,
